identity,model_slot,raw_csv_row,x_m,y_m,z_m,reported_intensity_unspecified_unit,reported_radial_velocity_mps,euclidean_xyz_range_m,azimuth_deg,projection_valid,cached_image_u_px,cached_image_v_px
train/020008,2,2,1.2078092098236084,-1.898677110671997,0.0,14.0,0.2052471786737442,2.2502839505103553,-57.53825633392282,False,,
train/020008,3,5,1.8855072259902954,0.36918720602989197,-0.43071842193603516,9.0,0.4104943573474884,1.9689984894237083,11.07850303542847,True,359.5740509033203,176.67916870117188
train/020008,4,6,3.8347318172454834,0.8614368438720703,-0.24612480401992798,9.0,0.6157415509223938,3.937996821396504,12.660787636794764,True,387.9894256591797,233.42176818847656
train/020008,5,3,2.590003252029419,2.080340623855591,0.20803406834602356,8.0,0.2052471786737442,3.3285450470707816,38.77210301344091,True,566.2213897705078,286.0620422363281
train/020008,6,4,2.4481308460235596,2.3528358936309814,0.4277883470058441,8.0,0.2052471786737442,3.4223068610871703,43.862878668088,True,616.8999862670898,320.98870849609375
train/020145,0,11,1.0341876745224,-0.3032609224319458,0.033695656806230545,34.0,-0.6157415509223938,1.0782609751335377,-16.343029596264113,True,180.5977439880371,277.1238098144531
train/020145,1,10,1.308418869972229,-0.22707942128181458,0.5904065370559692,30.0,-1.0262359380722046,1.4533082542487366,-9.845756919011489,True,232.50446319580078,425.71478271484375
train/020145,2,0,0.04192644730210304,-0.0043950858525931835,0.02051040157675743,23.0,0.0,0.046880916542528704,-5.984372718071953,False,,
train/020145,3,12,1.221153974533081,-0.241729736328125,0.9185729622840881,19.0,-0.6157415509223938,1.5470703222486593,-11.197053447402523,False,,
train/020145,4,15,0.9428048133850098,-0.14064274728298187,-0.5977316498756409,19.0,-0.2052471786737442,1.1251419571628745,-8.484521599213503,True,215.40363311767578,39.77317810058594
train/020145,5,4,1.124713659286499,-0.0,0.3296314477920532,15.0,0.2052471786737442,1.1720229122159311,-0.0,True,277.3281669616699,369.5897216796875
train/020145,6,13,2.349306583404541,-0.6094518899917603,0.2285444587469101,11.0,-0.4104943573474884,2.4378075392996807,-14.542965091455319,True,226.11591339111328,295.1316833496094
train/020145,7,14,1.1578583717346191,-2.1330816745758057,0.2285444587469101,11.0,-0.4104943573474884,2.437807623466418,-61.50644130808415,False,,
train/020145,8,1,0.5880225300788879,0.08790171891450882,-1.274574875831604,10.0,0.0,1.4064275033465645,8.50201701758288,False,,
train/020145,9,5,3.1761319637298584,-2.1623823642730713,0.12013234943151474,9.0,0.4104943573474884,3.8442351022961145,-34.24791797692932,True,103.55291366577148,273.7338562011719
train/020145,10,6,3.971702814102173,-2.0920608043670654,-3.312429666519165,9.0,0.4104943573474884,5.57882890473909,-27.77763888922895,False,,
train/020145,11,7,7.030342102050781,1.579300880432129,0.4512288272380829,9.0,0.4104943573474884,7.219661266107445,12.66078687500487,True,396.8916320800781,279.1973876953125
train/020145,12,8,7.048205375671387,1.6100664138793945,-1.3800569772720337,9.0,0.4104943573474884,7.360303671402608,12.867646983528239,True,396.5418243408203,183.99859619140625
train/020145,13,2,1.404457449913025,-0.09962194412946701,-0.7471646070480347,7.0,0.0,1.5939511317457558,-4.057348064184587,True,262.5479316711426,71.0267333984375
train/020145,14,3,1.23527193069458,-0.14943291246891022,0.9962194561958313,7.0,0.0,1.5939511106034507,-6.897649561118764,False,,
train/020145,15,9,7.213608264923096,0.9317582249641418,1.6305768489837646,7.0,0.4104943573474884,7.454065900567082,7.359957992723991,True,367.7505111694336,338.66937255859375
