condition,method,seed,AP_percent,AP50_percent,AP75_percent,per_class_AP_percent,selection_fraction,harmful_selection_fraction,mean_frame_risk,paired_sequence_risk_delta,utility
clean,positive_mean,71,62.079284468232,78.30636728294574,69.19538932123996,"[83.21257898670402, 82.09271003132989, 38.96155723065191, 44.050291624242185]",0.3497983870967742,0.1532258064516129,0.5186951160430908,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.004292245095982776, -0.0007953176078820465], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.0024482825037764264}","{""MAE"": 0.06648191064596176, ""RMSE"": 0.10834459215402603, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5403225806451613}"
clean,fitting_RMS_margin,71,62.340385401134256,78.60119115804535,69.70937396860941,"[83.24679651621035, 82.00965685064482, 40.107130708740975, 43.997957528940866]",0.008064516129032258,0.005040322580645161,0.5215974450111389,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.00014576351024069877, 0.0008650625997608953], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 0.0002692555573667873}","{""MAE"": 0.06648191064596176, ""RMSE"": 0.10834459215402603, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5403225806451613}"
clean,selector_utility,71,62.36330316373565,78.83275689124457,69.67082074928591,"[83.2620260596696, 82.07501878366877, 39.95305068668499, 44.163117124919204]",0.19556451612903225,0.09475806451612903,0.5196548700332642,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.0023152438928580985, -4.280520011308277e-05], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.0011486004504494812}","{""MAE"": 0.06648191064596176, ""RMSE"": 0.10834459215402603, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5403225806451613}"
clean,selector_zero,71,62.24202390348002,78.52668238853349,69.4396989913155,"[83.21889653751106, 82.07732121597599, 39.633272653408, 44.03860520702499]",0.25,0.14012096774193547,0.5227159261703491,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.0006882045927773968, 0.0027618726802689573], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 0.0007128895366218774}",
clean,selector_permuted,71,62.30949432988445,78.58021954191739,69.82185070624145,"[83.22386361089329, 82.06835417639931, 39.880378154330145, 44.065381377915045]",0.24798387096774194,0.13911290322580644,0.5228365063667297,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-4.678439208359089e-05, 0.0029184182872402935], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 0.0011001277552243826}",
camera_removed,task_only,,0.003693275631156261,0.021925499259057766,0.00012704837413986803,"[0.006963211916911644, 0.007809890607713401, 0.0, 0.0]",,,,,
camera_removed,cure,,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",,,,,
camera_removed,modality_dropout,,0.07357247999600824,0.41342810770682814,0.0004929668144731084,"[0.2418511104749091, 0.05243880950912386, 0.0, 0.0]",,,,,
camera_removed,positive_mean,11,0.023669254053336926,0.15123748895529515,0.00034578405104537905,"[0.00938082301765041, 0.08529619319569734, 0.0, 0.0]",0.9818548387096774,0.19254032258064516,8.071148872375488,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5974121559117009, -0.05419497331380992], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.24737874295144724}","{""MAE"": 0.24633269011974335, ""RMSE"": 0.45023566484451294, ""empirical_band_coverage"": 0.9566532258064516, ""sign_agreement"": 0.7943548387096774}"
camera_removed,fitting_RMS_margin,11,0.011961285764493287,0.07693017625098546,0.00028418236303485577,"[0.005753794983627501, 0.04209134807434564, 0.0, 0.0]",0.5473790322580645,0.0655241935483871,8.095524787902832,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5606503566698637, -0.019583126099524357], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2057150208898649}","{""MAE"": 0.24633269011974335, ""RMSE"": 0.45023566484451294, ""empirical_band_coverage"": 0.9566532258064516, ""sign_agreement"": 0.7943548387096774}"
camera_removed,selector_utility,11,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}","{""MAE"": 0.24633269011974335, ""RMSE"": 0.45023566484451294, ""empirical_band_coverage"": 0.9566532258064516, ""sign_agreement"": 0.7943548387096774}"
camera_removed,selector_zero,11,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}",
camera_removed,selector_permuted,11,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}",
camera_removed,confidence,,0.007451419855697171,0.042394577411693994,0.0006526962599520031,"[0.005501609505831551, 0.02430406991695713, 0.0, 0.0]",0.2701612903225806,0.01310483870967742,8.118182182312012,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5466203254186713, -0.0018209968065651307], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.18787462678148523}",
camera_removed,positive_mean,23,0.018136928270020457,0.1181958092473309,0.000317196845381795,"[0.006229685193405383, 0.06631802788667646, 0.0, 0.0]",0.7278225806451613,0.11391129032258064,8.084721565246582,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5745358420584059, -0.033988374066263045], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2226645802912543}","{""MAE"": 0.25541865825653076, ""RMSE"": 0.4650334119796753, ""empirical_band_coverage"": 0.9516129032258065, ""sign_agreement"": 0.6975806451612904}"
camera_removed,fitting_RMS_margin,23,0.006901799303634008,0.042201723727949815,0.0006061979652142396,"[0.005259640726166019, 0.022347556488370016, 0.0, 0.0]",0.35080645161290325,0.03125,8.114462852478027,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5468510532776782, -0.004322209700371275], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.18926450410362355}","{""MAE"": 0.25541865825653076, ""RMSE"": 0.4650334119796753, ""empirical_band_coverage"": 0.9516129032258065, ""sign_agreement"": 0.6975806451612904}"
camera_removed,selector_utility,23,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}","{""MAE"": 0.25541865825653076, ""RMSE"": 0.4650334119796753, ""empirical_band_coverage"": 0.9516129032258065, ""sign_agreement"": 0.6975806451612904}"
camera_removed,selector_zero,23,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}",
camera_removed,selector_permuted,23,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}",
camera_removed,positive_mean,37,0.02121785812053898,0.13572067084620204,0.0003232724984644268,"[0.006885877922310734, 0.07798555455984517, 0.0, 0.0]",0.8921370967741935,0.16733870967741934,8.075676918029785,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5955941429219715, -0.04657152181862898], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.24262605296650175}","{""MAE"": 0.24679872393608093, ""RMSE"": 0.4528775215148926, ""empirical_band_coverage"": 0.9536290322580645, ""sign_agreement"": 0.7550403225806451}"
camera_removed,fitting_RMS_margin,37,0.008281046293214888,0.04967527712933852,0.0007852620488010361,"[0.005414954612444663, 0.027709230560414896, 0.0, 0.0]",0.41431451612903225,0.03931451612903226,8.106322288513184,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5512919443500619, -0.010301438044701045], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.19534101961533723}","{""MAE"": 0.24679872393608093, ""RMSE"": 0.4528775215148926, ""empirical_band_coverage"": 0.9536290322580645, ""sign_agreement"": 0.7550403225806451}"
camera_removed,selector_utility,37,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}","{""MAE"": 0.24679872393608093, ""RMSE"": 0.4528775215148926, ""empirical_band_coverage"": 0.9536290322580645, ""sign_agreement"": 0.7550403225806451}"
camera_removed,selector_zero,37,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}",
camera_removed,selector_permuted,37,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}",
camera_removed,positive_mean,53,0.023981242834080294,0.1536755070269443,0.0003490355161147592,"[0.009967816182296722, 0.08595715515402445, 0.0, 0.0]",0.9848790322580645,0.1935483870967742,8.07071590423584,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5974256108800567, -0.05455392228316284], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.24773309577298275}","{""MAE"": 0.2407086342573166, ""RMSE"": 0.4344841241836548, ""empirical_band_coverage"": 0.9637096774193549, ""sign_agreement"": 0.7953629032258065}"
camera_removed,fitting_RMS_margin,53,0.013583365777199543,0.08907002076607745,0.00029513400127032484,"[0.0058112112778852445, 0.04852225183091293, 0.0, 0.0]",0.594758064516129,0.07459677419354839,8.092737197875977,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5622582397488871, -0.02010369385956681], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2069764363971469}","{""MAE"": 0.2407086342573166, ""RMSE"": 0.4344841241836548, ""empirical_band_coverage"": 0.9637096774193549, ""sign_agreement"": 0.7953629032258065}"
camera_removed,selector_utility,53,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}","{""MAE"": 0.2407086342573166, ""RMSE"": 0.4344841241836548, ""empirical_band_coverage"": 0.9637096774193549, ""sign_agreement"": 0.7953629032258065}"
camera_removed,selector_zero,53,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}",
camera_removed,selector_permuted,53,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}",
camera_removed,positive_mean,71,0.016915324233172803,0.11205288870352442,0.00030181122317474076,"[0.006163529280564685, 0.06149776765212653, 0.0, 0.0]",0.6703629032258065,0.10080645161290322,8.090115547180176,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5661154364955209, -0.028698947719713246], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.21372710812931586}","{""MAE"": 0.2566291093826294, ""RMSE"": 0.46227550506591797, ""empirical_band_coverage"": 0.9536290322580645, ""sign_agreement"": 0.6663306451612904}"
camera_removed,fitting_RMS_margin,71,0.006566249195874865,0.03958178515569036,0.0005640143377201307,"[0.004765119978404931, 0.02149987680509453, 0.0, 0.0]",0.3155241935483871,0.023185483870967742,8.117056846618652,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5460877596832089, -0.00384525477028789], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.18821241514794973}","{""MAE"": 0.2566291093826294, ""RMSE"": 0.46227550506591797, ""empirical_band_coverage"": 0.9536290322580645, ""sign_agreement"": 0.6663306451612904}"
camera_removed,selector_utility,71,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]",1.0,0.1975806451612903,8.06870174407959,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.5978216144401319, -0.055174466995974655], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.2487291786287258}","{""MAE"": 0.2566291093826294, ""RMSE"": 0.46227550506591797, ""empirical_band_coverage"": 0.9536290322580645, ""sign_agreement"": 0.6663306451612904}"
