contrast,omitted_recording,remaining_recordings,remaining_objects,CURE,baseline_error,difference_CURE_minus_baseline,relative_error_reduction_percent
camera_removal/MAE/CURE_vs_fit_global_median,Dataset_2024-03-21-16-12-18,7,2350,1.300340501907024,2.5560247611999514,-1.2556842592929274,49.12645129084876
camera_removal/MAE/CURE_vs_fit_global_median,Dataset_2024-07-24-14-41-29,7,2475,1.2585556024493594,2.595521553309277,-1.3369659508599174,51.5104931089974
camera_removal/MAE/CURE_vs_fit_global_median,Dataset_2024-07-24-14-54-03,7,2493,1.2775282490650335,2.614343994169698,-1.3368157451046645,51.133888581071375
camera_removal/MAE/CURE_vs_fit_global_median,Dataset_2024-07-29-21-21-31,7,883,1.2749887525292782,2.628392707991033,-1.353403955461755,51.49169495665684
camera_removal/MAE/CURE_vs_fit_global_median,Dataset_2024-08-05-11-13-52,7,2477,1.2658652439202134,2.602778460741717,-1.3369132168215037,51.364848641037305
camera_removal/MAE/CURE_vs_fit_global_median,Dataset_2024-08-05-11-23-01,7,2192,1.2255837718283173,2.6111276333567,-1.3855438615283828,53.06304616550725
radar_thinning/RMSE/CURE_vs_fit_global_median,Dataset_2024-03-19-15-35-57,7,2424,0.02019679307440199,0.020527982140731312,-0.0003311890663293231,1.6133542208816687
radar_thinning/RMSE/CURE_vs_fit_global_median,Dataset_2024-03-21-16-07-05,7,2353,0.025107796375895226,0.025445079142148577,-0.0003372827662533502,1.3255323922127582
radar_thinning/RMSE/CURE_vs_fit_global_median,Dataset_2024-03-21-16-12-18,7,2350,0.02510368102994577,0.02544240883265927,-0.0003387278027135003,1.3313511505195663
radar_thinning/RMSE/CURE_vs_fit_global_median,Dataset_2024-07-24-14-41-29,7,2475,0.02428067675024356,0.024635619937692102,-0.0003549431874485427,1.4407722977796245
radar_thinning/RMSE/CURE_vs_fit_global_median,Dataset_2024-07-24-14-54-03,7,2493,0.024402799678300648,0.024726633122758843,-0.000323833444458195,1.3096544234327379
radar_thinning/RMSE/CURE_vs_fit_global_median,Dataset_2024-07-29-21-21-31,7,883,0.02975716489577271,0.029670668611259738,8.649628451297062e-05,-0.29152118425854745
radar_thinning/RMSE/CURE_vs_fit_global_median,Dataset_2024-08-05-11-13-52,7,2477,0.024425325994179306,0.02476025511212608,-0.00033492911794677505,1.352688477683528
radar_thinning/RMSE/CURE_vs_fit_global_median,Dataset_2024-08-05-11-23-01,7,2192,0.02374581020412143,0.0241809939623199,-0.000435183758198468,1.799693424003146
radar_thinning/MAE/CURE_vs_fit_global_median,Dataset_2024-03-19-15-35-57,7,2424,0.006983212400600468,0.006196472661745682,0.0007867397388547854,-12.696574031735386
radar_thinning/MAE/CURE_vs_fit_global_median,Dataset_2024-03-21-16-07-05,7,2353,0.007745169723961349,0.006953912441406195,0.0007912572825551538,-11.378591393295556
radar_thinning/MAE/CURE_vs_fit_global_median,Dataset_2024-03-21-16-12-18,7,2350,0.007644444170724997,0.006854601092735662,0.0007898430779893348,-11.522816095401822
